"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TFB2M|Q9H5Q4",1.52571178877296,344106.348640351,21.5700613901471,7.8289789567312e-57,8.95243743702212e-53,118.812885207915
"NUDT15|Q9NV35",3.78599480313747,963935.139035088,18.9827639620719,1.00863930550736e-48,5.76689522923834e-45,100.253987843244
"METTL5|Q9NRN9",0.694331579571713,236252.897783019,19.1480665215233,5.40420541227303e-48,2.05990296297807e-44,98.6126265345116
"AP3M1|Q9Y2T2",-9.0376230110873,6898919.19298246,-18.3054280753317,1.49153307086932e-46,4.26392016634768e-43,95.286484948376
"ZFX|P17010",0.726614079439338,166548.177784091,19.5429454108439,8.30450700100817e-46,1.89924075113057e-42,93.6675119024903
"TPX2|Q9ULW0",-6.1925464578356,1145920.44575472,-17.7471677092619,1.08116398599497e-43,1.90346199464004e-40,88.6019323117346
"GPRC5C|Q9NQ84",1.77992106003057,201918.6834,24.47364174197,1.16521503825801e-43,1.90346199464004e-40,87.273767893048
"CCDC8|Q9H0W5",0.541034612509016,132060.00808642,18.9593977840197,8.10631280863557e-43,1.15869608708435e-39,86.8643317367868
"ACOT7L|Q6ZUV0",2.03948786273473,362365.905416667,17.6147927498692,7.61085396732466e-42,9.67001279070639e-39,84.5811404782993
"ARHGAP10|A1A4S6",26.7721874090585,1736828.55320755,16.5477009323098,5.92529791671857e-40,6.77557816776768e-37,80.2113833975883
"ALG13|Q9NP73",2.14640581104363,569851.296556604,16.4225375955165,1.46309996703298e-39,1.52095892027474e-36,79.310558248515
"PDE8A|O60658",13.0895871104354,2045193.74868421,15.893958694881,1.02775420019856e-38,9.79364106605882e-36,77.3397429534445
"EPS8|Q12929",7.98853160279674,5615885.53070175,15.7814014102561,2.4027358941247e-38,2.11348345763969e-35,76.4952852702874
"ISG20|Q96AZ6",4.69872621963313,405043.185243902,16.3548462846184,3.63324973920228e-36,2.96758648341272e-33,71.6537799433174
"TRIM4|Q9C037",3.50493029128959,987989.534285714,14.782812501249,2.6674227392539e-34,2.03346526822456e-31,67.2838867606535
"GLT8D1|Q68CQ7",0.392442853460765,90479.5513402062,14.7981758883883,1.37481045651029e-33,9.82559848137199e-31,65.6679461397142
"KIFC2|Q96AC6",4.89621835027565,2073212.76315789,14.3038425093826,1.69303489952057e-33,1.1388149456481e-30,65.3965157534447
"TIMM17A|Q99595",2.58541156292542,564270.31495614,14.2372099435448,2.80008851762152e-33,1.77883401105567e-30,64.8963621027185
"RAB43|Q86YS6",1.47132501506343,358810.378114035,14.2204574165297,3.17760961166925e-33,1.91241925839146e-30,64.7706332853133
